"THE CROODS 2 Trailer (2020) A NEW AGE, Animation Movie","Movie Coverage","5 days","3 minutes, 39 seconds","5,837,312"
"Man destroys computer","Xhereon","13 years","27 seconds","12,085,301"
"What to expect if you encounter a wolf","myodfw","11 months","2 minutes, 1 second","9,695,508"
"Kid Slams Teacher!!","Cayman Brown","7 years","16 seconds","7,693,265"
"One of the Best Dodgeball Dodges Ever!!!","Timmy Le","2 years","20 seconds","9,274,280"
"I Look Really Hot Until I Smile (Tik Tok Compilation)","SSSniperWolf","5 months","10 minutes, 16 seconds","7,873,364"
"Schumer on Supreme Court Confirmation: ‘Honor Ruth Bader Ginsburg’s Dying Wish’","Bloomberg QuickTake: Now","21 minutes","1 minute, 2 seconds","120"
"What Amy Coney Barrett&#39;s Supreme Court nomination means for the 2020 election","CBS News","1 hour","11 minutes, 50 seconds","11,956"
"Schumer reacts to Trump nominating Amy Coney Barrett to the Supreme Court","Fox News","2 hours","2 minutes, 8 seconds","57,096"
"President Trump Selects Amy Coney Barrett As Supreme Court Nominee | NBC Nightly News","NBC News","2 hours","4 minutes, 26 seconds","14,532"
"Trump Says Senate Confirmation of Amy Coney Barrett Be Done Before Election","Bloomberg QuickTake: Now","57 minutes","41 seconds","7,155"
"Amy Coney Barrett&#39;s former student credits judge for success","CBS News","2 hours","10 minutes, 37 seconds","30,070"
"Trump names Barrett as his Supreme Court pick","Reuters","2 hours","2 minutes, 25 seconds","7,713"
"Amy Coney Barrett: I pledge to be mindful of Ruth Bader Ginsburg&#39;s legacy","Fox News","3 hours","7 minutes, 30 seconds","222,427"
"🔴LIVE: President Trump Announces Nominee For Associate Justice of United States Supreme Court","Right Side Broadcasting Network Streamed","4 hours","42 minutes","204,179"
"Dog Gets Adopted and Totally Loses It","The Dodo","4 years","42 seconds","3,868,250"
"Tattooed bully acts cocky and gets knocked out by Ben Nguyen in 20 seconds!(Original official video)","For Great Justice","5 years","43 seconds","56,870,878"
"Inside The $5 Billion Apple Headquarters","Tech Vision","2 weeks","5 minutes, 55 seconds","3,786,676"
"BTS (방탄소년단) &#39;Dynamite&#39; Official MV (Choreography ver.)","Big Hit Labels","1 day","3 minutes, 26 seconds","8,128,374"
"VFX Artists React to TRON Bad &amp; Great CGi","Corridor Crew","9 hours","16 minutes","592,258"
"[1169] The Stakes Are High — Scotch Bottle Puzzle Solved","LockPickingLawyer","12 hours","4 minutes, 49 seconds","461,289"
"The Ultimate iOS 14 Homescreen Setup Guide!","Marques Brownlee","2 days","9 minutes, 18 seconds","3,409,609"
"HOLO TACO MULTICHROME COLLECTION REVEAL😈 + Face Update","Simply Nailogical","10 hours","15 minutes","413,368"
"Joining a Military Program","Tabbes","10 hours","8 minutes, 1 second","396,497"
"Travis Scott feat. Young Thug &amp; M.I.A. - FRANCHISE (Official Music Video)","Travis Scott","1 day","3 minutes, 56 seconds","7,231,637"
"Something About Kirby &amp; The Amazing Mirror ANIMATED (Loud Sound &amp; Flashing Lights Warning) ✞","TerminalMontage","1 day","8 minutes, 48 seconds","1,969,356"
"Our virtual birthday party ft @Sultan Sketches","illymation","9 hours","9 minutes, 9 seconds","132,811"
"dog update","julien solomita","1 day","13 minutes, 27 seconds","923,687"
"10 Things Lil Baby Can&#39;t Live Without | GQ","GQ","1 day","4 minutes, 56 seconds","777,748"
"Joji - Your Man (Official Video)","88rising","1 day","3 minutes, 21 seconds","1,262,020"
"Funny Spongebob Scenes #1","maltesephillies15","8 years","14 minutes, 16 seconds","2,850,065"
"DANCE TILL YOU&#39;RE DEAD","Tempex","1 week","3 minutes, 20 seconds","1,104,431"
"Beating Minecraft, But All Blocks Have Gravity...","Dream","8 months","18 minutes","8,698,220"
"You got cheese Original Video","Tesarion TV","11 months","23 seconds","12,468,709"
"&#39;Superman dive&#39; at finish line gives 400m hurdler dramatic victory","RT en Español","1 year","31 seconds","15,233,714"
"Marine surprises his little sister at School","Valerie B.","2 years","1 minute, 17 seconds","4,419,821"
"No Bake Honey Cheesecake","Nino&#39;s Home","1 week","10 minutes, 3 seconds","3,094,035"
"Jack Black Performs His Legendary Sax-A-Boom with The Roots","The Tonight Show Starring Jimmy Fallon","2 years","2 minutes, 22 seconds","59,651,802"
"6LACK Live From The Ledge","6LACK Streamed","4 weeks","39 minutes","899,635"
"Nas - &quot;Ultra Black&quot; (Official Video)","Mass Appeal","1 month","3 minutes, 22 seconds","3,042,291"
"Beyoncé, Blue Ivy, SAINt JHN, WizKid - BROWN SKIN GIRL (Official Video)","Beyoncé","1 month","6 minutes, 12 seconds","15,955,818"
"6LACK ft. Lil Baby - Know My Rights (Official Visualizer)","6LACK","1 month","3 minutes, 13 seconds","1,267,221"
"Pharrell Williams - Entrepreneur (Official Video) ft. JAY-Z","Pharrell Williams","1 month","5 minutes, 30 seconds","8,648,424"
"H.E.R. Performs &quot;I Can&#39;t Breathe&quot; &amp; &quot;Fate&quot; – Live | 2020 Roots Picnic Virtual Experience","The Roots","2 months","11 minutes, 42 seconds","2,139,394"
"DaBaby - ROCKSTAR ft. Roddy Ricch (BLM Remix) ft. Roddy Ricch","DaBaby","3 months","3 minutes, 26 seconds","10,435,989"
"Public Enemy Is Joined By Nas, Black Thought &amp; More For Rendition of Fight The Power | BET Awards 20","BETNetworks","2 months","5 minutes, 47 seconds","1,234,039"
"Kiana Ledé - &quot;Dear Mr. President&quot;","Kiana Ledé","3 months","4 minutes, 52 seconds","474,420"
"Dax - BLACK LIVES MATTER (Official Music Video)","Dax","3 months","3 minutes, 20 seconds","4,002,037"
"Lil Baby - The Bigger Picture (Official Music Video)","Lil Baby Official 4PF","3 months","4 minutes, 17 seconds","80,625,322"
"Usher - I Cry (Official Video)","Usher","2 months","3 minutes, 47 seconds","9,463,700"
